Order_Month,Beauty,Clothing,Electronics,Home & Kitchen,Sports
2023-01,460857.0,432305.0,487464.0,340040.0,419201.0
2023-02,359053.0,401398.0,303787.0,314357.0,347552.0
2023-03,446669.0,434050.0,496981.0,450085.0,409020.0
2023-04,394284.0,482425.0,458267.0,308854.0,409483.0
2023-05,430913.0,424529.0,388080.0,375659.0,478481.0
2023-06,323569.0,397945.0,474894.0,338803.0,298323.0
2023-07,464847.0,448317.0,460571.0,422239.0,383781.0
2023-08,379388.0,375220.0,461100.0,469426.0,443382.0
2023-09,360587.0,368770.0,445885.0,477805.0,401943.0
2023-10,389530.0,413228.0,433201.0,422896.0,393182.0
2023-11,472071.0,397086.0,461279.0,341537.0,432398.0
2023-12,387690.0,396709.0,479750.0,451168.0,400353.0
2024-01,408663.0,431451.0,413466.0,379515.0,455101.0
2024-02,447907.0,397499.0,347014.0,388571.0,406806.0
2024-03,470431.0,414725.0,383731.0,369607.0,465241.0
2024-04,399430.0,426389.0,440207.0,458609.0,332666.0
2024-05,434021.0,406136.0,405887.0,477309.0,443798.0
2024-06,399833.0,382256.0,408487.0,429359.0,353209.0
2024-07,422347.0,483352.0,436582.0,426651.0,404657.0
2024-08,358924.0,466903.0,362131.0,436396.0,434737.0
2024-09,382849.0,334002.0,491765.0,388569.0,449586.0
2024-10,391556.0,354338.0,368707.0,477449.0,376180.0
2024-11,384494.0,400414.0,454588.0,398901.0,364169.0
2024-12,391846.0,383324.0,370205.0,469507.0,419720.0
