Order_Month,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,MoM_Growth
2023-01,2139867.0,313601.76,667,1988,
2023-02,1726147.0,268380.27,510,1541,-0.1933
2023-03,2236805.0,337696.73,674,2032,0.2958
2023-04,2053313.0,317437.48,599,1853,-0.082
2023-05,2097662.0,316681.83,613,1806,0.0216
2023-06,1833534.0,275847.62,580,1721,-0.1259
2023-07,2179755.0,329552.27,667,2013,0.1888
2023-08,2128516.0,312916.23,646,1955,-0.0235
2023-09,2054990.0,318581.91,623,1887,-0.0345
2023-10,2052037.0,301732.62,638,1960,-0.0014
2023-11,2104371.0,307407.1,635,1876,0.0255
2023-12,2115670.0,311451.64,618,1888,0.0054
2024-01,2088196.0,306555.59,664,1909,-0.013
2024-02,1987797.0,292993.59,581,1812,-0.0481
2024-03,2103735.0,315645.41,623,1894,0.0583
2024-04,2057301.0,304062.3,635,1874,-0.0221
2024-05,2167151.0,328369.08,667,1974,0.0534
2024-06,1973144.0,287956.31,608,1817,-0.0895
2024-07,2173589.0,321321.3,663,2006,0.1016
2024-08,2059091.0,302873.44,605,1890,-0.0527
2024-09,2046771.0,311054.74,638,1931,-0.006
2024-10,1968230.0,289810.38,613,1878,-0.0384
2024-11,2002566.0,297975.33,613,1820,0.0174
2024-12,2034602.0,307866.16,620,1866,0.016
