Product_Name,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,Avg_Discount,Profit_Margin,Sales_Share
Tablet,2205091.0,335395.75,629,1944,0.1501,0.1521,0.0447
Smartphone,2148078.0,326400.25,627,1889,0.1517,0.1519,0.0435
Skin Cream,2089872.0,315536.85,617,1850,0.1466,0.151,0.0423
Jeans,2081730.0,312149.74,583,1856,0.1537,0.1499,0.0422
Headphones,2063692.0,319836.25,639,1843,0.1479,0.155,0.0418
Vacuum Cleaner,2052444.0,307864.68,621,1859,0.1493,0.15,0.0416
Yoga Mat,2029162.0,303022.76,622,1886,0.1491,0.1493,0.0411
Makeup Kit,2023811.0,303018.57,625,1879,0.1544,0.1497,0.041
Air Fryer,2012414.0,297220.22,611,1827,0.1503,0.1477,0.0407
Face Wash,2004712.0,296784.53,603,1851,0.1484,0.148,0.0406
T-Shirt,2001252.0,293565.36,581,1847,0.1476,0.1467,0.0405
Mixer,1995231.0,292720.61,633,1882,0.1491,0.1467,0.0404
Dumbbells,1994690.0,302244.42,608,1837,0.1581,0.1515,0.0404
Football,1947655.0,288393.59,580,1798,0.1494,0.1481,0.0394
Camera,1937669.0,287971.04,609,1796,0.1482,0.1486,0.0392
Sneakers,1937020.0,297176.95,617,1814,0.1499,0.1534,0.0392
Jacket,1921313.0,284194.41,583,1741,0.1552,0.1479,0.0389
Shirt,1911456.0,281220.55,561,1692,0.1502,0.1471,0.0387
Dinner Set,1892595.0,270821.68,577,1774,0.1427,0.1431,0.0383
Perfume,1889001.0,276983.54,571,1705,0.1462,0.1466,0.0383
Laptop,1879499.0,281591.69,574,1715,0.1511,0.1498,0.0381
Tennis Racket,1876745.0,279320.48,611,1775,0.1486,0.1488,0.038
Cricket Bat,1874717.0,279338.52,586,1734,0.1519,0.149,0.038
Cookware Set,1860628.0,277825.98,574,1707,0.1519,0.1493,0.0377
Hair Dryer,1754363.0,267172.67,558,1690,0.1509,0.1523,0.0355
