Product_Name,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,Avg_Discount,Profit_Margin,Sales_Share
Tablet,2205091.0,335395.75,629,1944,0.1501,0.1521,0.0447
Smartphone,2148078.0,326400.25,627,1889,0.1517,0.1519,0.0435
Skin Cream,2089872.0,315536.85,617,1850,0.1466,0.151,0.0423
Jeans,2081730.0,312149.74,583,1856,0.1537,0.1499,0.0422
Headphones,2063692.0,319836.25,639,1843,0.1479,0.155,0.0418
Vacuum Cleaner,2052444.0,307864.68,621,1859,0.1493,0.15,0.0416
Yoga Mat,2029162.0,303022.76,622,1886,0.1491,0.1493,0.0411
Makeup Kit,2023811.0,303018.57,625,1879,0.1544,0.1497,0.041
Air Fryer,2012414.0,297220.22,611,1827,0.1503,0.1477,0.0407
Face Wash,2004712.0,296784.53,603,1851,0.1484,0.148,0.0406
